"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5312","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","30.109037","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","27.481339","0","6"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","18","1","106.420189","0","18"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","20.034286","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","18.831219","0","5"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","6","1","18.451633","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","35.278271","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","21.424168","0","4"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","26","27","1","73.893066","0","27"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","67","67","1","156.108154","0","67"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","26","26","1","56.645290","0","26"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","3.507160","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","26","1","59.922649","0","26"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","14","1","27.356153","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","3.550713","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","5.196022","0","5"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","9","1","8.285975","0","9"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","10","1","22.750420","0","10"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","45","45","1","63.736542","0","45"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","6","6","1","5.019199","0","6"
"/Game/HorrorEngine/Materials/HE_Light.HE_Light","0","23","23","1","51.797138","0","23"
"/Game/FreeFurniturePack/Materials/M_Chrome.M_Chrome","0","23","23","1","38.777946","0","23"
"/Game/HorrorEngine/Materials/HE_SimpleColor.HE_SimpleColor","0","50","50","1","136.207870","0","50"
"/Game/HorrorEngine/Materials/HE_PortalAdd1.HE_PortalAdd1","0","24","24","1","328.270996","0","24"
"/Game/HorrorEngine/Materials/HE_Portal.HE_Portal","0","29","29","1","73.853065","0","29"
"/Game/HorrorEngine/Materials/HE_PortalAdd2.HE_PortalAdd2","0","24","24","1","267.369385","0","24"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","35","35","1","67.176735","0","35"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","35","35","1","37.757103","0","35"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","35","35","1","0.000000","0","35"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","28","1","43.764957","0","28"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","7","1","7.190254","0","7"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","42","2","69.098724","0","42"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","9","1","10.990160","0","9"
"/ControlRig/M_Manip.M_Manip","0","9","9","1","9.960292","0","9"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","6.060208","0","5"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","7.595912","0","4"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","56","6","66.378387","1","56"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","8.380510","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","87","1","172.933502","0","87"
